agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
16417,873,2343,7,4,MANDATORY,5205656
16418,2151,2354,8,3,AT_WORK,5205656
16419,887,2354,7,2,MANDATORY,7681338
16420,2100,2354,7,5,MANDATORY,7681340
16421,1947,2354,8,0,INDIVIDUAL_NON_MANDATORY,3089638
16422,324,2354,7,4,MANDATORY,5052093
16423,1533,2354,8,4,MANDATORY,5052087
16424,505,2354,8,0,INDIVIDUAL_NON_MANDATORY,7872343
16425,1382,2354,7,0,INDIVIDUAL_NON_MANDATORY,5676062
16426,1271,366,8,5,MANDATORY,1770865
16427,406,2354,8,1,MANDATORY,1770865
16428,1401,2354,7,0,MANDATORY,3394160
16429,1510,2354,7,0,MANDATORY,2145759
16430,885,2354,8,2,MANDATORY,2145760
16431,2573,2354,7,0,MANDATORY,5205705
16432,1384,2354,7,2,MANDATORY,5205706
16433,1275,2354,7,3,MANDATORY,7733406
16434,1946,2354,7,3,MANDATORY,1770895
16435,1689,2354,7,4,INDIVIDUAL_NON_MANDATORY,5020480
16436,1890,2354,8,1,INDIVIDUAL_NON_MANDATORY,5020481
16437,1383,2354,7,1,MANDATORY,5485809
16438,2276,2354,8,1,MANDATORY,1647280
16439,1410,2354,8,0,MANDATORY,1647281
16440,1440,2068,8,3,MANDATORY,1690375
16441,503,2354,7,1,MANDATORY,3054900
16442,815,2354,7,4,MANDATORY,2318786
16443,2632,2354,7,4,MANDATORY,2318787
16444,1408,2485,7,2,MANDATORY,2318788
16445,1745,2354,8,0,MANDATORY,442745
16446,874,2354,7,4,MANDATORY,2775960
16447,1865,2510,8,1,INDIVIDUAL_NON_MANDATORY,2775961
16448,599,2354,7,3,MANDATORY,2775964
16449,2269,2354,8,0,MANDATORY,2775965
16450,1048,2320,8,5,INDIVIDUAL_NON_MANDATORY,2775966
16451,1754,2354,8,1,INDIVIDUAL_NON_MANDATORY,398168
16452,247,2354,7,3,MANDATORY,398169
16453,757,118,8,1,MANDATORY,2049968
16454,814,2354,8,1,MANDATORY,3563574
16455,1045,2354,7,3,MANDATORY,3563575
16456,2564,1052,7,4,MANDATORY,2222843
16457,597,2354,8,0,INDIVIDUAL_NON_MANDATORY,2222844
16458,2669,2354,8,5,MANDATORY,4615259
16459,1196,897,8,1,MANDATORY,4615260
16460,1678,2354,7,5,MANDATORY,4615261
16461,1198,574,8,4,MANDATORY,4615262
16462,1325,2354,7,4,MANDATORY,7322686
16463,245,2354,7,4,MANDATORY,7322687
16464,1042,2354,7,4,MANDATORY,7322688
16465,672,2354,7,3,MANDATORY,5676082
16466,1415,2354,7,4,MANDATORY,5676083
16467,1445,2354,7,5,MANDATORY,2073792
16468,390,2354,8,0,MANDATORY,2073793
16469,1587,2354,7,0,MANDATORY,7323028
16470,1042,2354,7,3,MANDATORY,7323029
16471,893,2354,8,1,MANDATORY,7323030
16472,818,2354,8,2,MANDATORY,6046554
16473,1745,2541,7,4,MANDATORY,3983111
16474,600,2354,7,3,MANDATORY,3983111
16475,901,227,7,4,MANDATORY,2257859
16476,1198,2354,8,0,INDIVIDUAL_NON_MANDATORY,2257860
16477,1449,2354,8,1,INDIVIDUAL_NON_MANDATORY,2257861
16478,2355,809,8,2,INDIVIDUAL_NON_MANDATORY,2257861
16479,2131,1989,8,4,MANDATORY,87233
16480,1745,2354,8,2,MANDATORY,461215
16481,2632,2354,7,2,MANDATORY,7006146
16482,2272,2354,8,3,INDIVIDUAL_NON_MANDATORY,7006149
16483,2271,2354,8,2,INDIVIDUAL_NON_MANDATORY,7006151
16484,390,2354,8,4,MANDATORY,6046486
16485,593,2354,7,4,MANDATORY,6046488
16486,594,2354,8,2,MANDATORY,2049960
16487,759,2354,7,0,MANDATORY,3735858
16488,2632,241,7,2,MANDATORY,3735859
16489,2010,1026,8,4,MANDATORY,2073810
16490,1195,2354,7,1,MANDATORY,2073811
16491,1450,2026,7,3,MANDATORY,2013476
16492,2155,2354,7,5,MANDATORY,2013477
16493,1409,2354,8,3,MANDATORY,3705383
16494,2269,2354,8,2,INDIVIDUAL_NON_MANDATORY,3705383
16495,2355,2578,8,5,INDIVIDUAL_NON_MANDATORY,3705383
16496,2712,600,8,0,INDIVIDUAL_NON_MANDATORY,3705383
16497,237,2354,8,2,MANDATORY,3563547
16498,814,190,7,2,INDIVIDUAL_NON_MANDATORY,2887666
16499,829,2354,8,2,INDIVIDUAL_NON_MANDATORY,2887666
16500,1326,1150,7,5,MANDATORY,2887669
16501,2271,2154,7,2,MANDATORY,2887670
16502,758,349,8,5,MANDATORY,2887671
16503,107,1542,7,3,MANDATORY,4615139
16504,1043,2354,7,4,MANDATORY,4615141
16505,1586,2354,7,1,MANDATORY,4615142
16506,255,2354,8,3,MANDATORY,1770951
16507,874,2354,8,5,MANDATORY,3394192
16508,247,2354,7,4,INDIVIDUAL_NON_MANDATORY,3394192
16509,2355,2153,7,0,INDIVIDUAL_NON_MANDATORY,3394192
16510,1678,2354,8,2,MANDATORY,4048001
16511,905,2354,8,0,MANDATORY,3348340
16512,1447,2354,8,1,INDIVIDUAL_NON_MANDATORY,2013487
16513,1193,2354,7,4,MANDATORY,2049953
16514,2268,2354,7,3,MANDATORY,3394174
16515,1587,2354,8,0,MANDATORY,442774
16516,1409,2354,7,1,INDIVIDUAL_NON_MANDATORY,442775
16517,1042,2354,7,5,MANDATORY,442748
16518,1448,2354,7,0,INDIVIDUAL_NON_MANDATORY,442749
16519,1980,484,7,5,MANDATORY,3747748
16520,1967,2059,7,2,MANDATORY,3747748
16521,1043,2354,7,0,MANDATORY,3747749
16522,1745,2354,8,3,MANDATORY,3705391
16523,244,2354,7,3,MANDATORY,442672
16524,1415,2354,8,3,MANDATORY,398171
16525,874,2354,7,2,INDIVIDUAL_NON_MANDATORY,1928007
16526,255,2354,8,2,MANDATORY,7322571
16527,593,627,7,5,MANDATORY,7322572
16528,598,2354,7,5,MANDATORY,1771015
16529,2454,2354,8,1,MANDATORY,2073774
16530,391,2354,7,3,MANDATORY,2887686
16531,2156,2354,7,3,MANDATORY,2887688
16532,598,2354,7,4,INDIVIDUAL_NON_MANDATORY,2887688
16533,2355,2114,7,5,INDIVIDUAL_NON_MANDATORY,2887688
16534,2269,2354,8,4,MANDATORY,5959438
16535,1312,2354,8,5,MANDATORY,5959440
16536,256,2354,7,2,MANDATORY,1771065
16537,600,2354,7,4,MANDATORY,627112
16538,2455,1602,8,2,MANDATORY,627113
16539,2187,2354,8,3,INDIVIDUAL_NON_MANDATORY,627113
16540,2173,673,8,5,INDIVIDUAL_NON_MANDATORY,627113
16541,247,2354,7,2,MANDATORY,411507
16542,255,2354,7,3,MANDATORY,2145761
16543,906,2354,8,1,MANDATORY,3705396
16544,907,2354,8,1,MANDATORY,7322923
16545,1326,2354,7,3,MANDATORY,7322925
16546,1046,679,7,3,MANDATORY,7322926
16547,1626,586,7,2,MANDATORY,7322926
16548,1194,2354,8,4,MANDATORY,7322927
16549,759,2505,7,5,MANDATORY,4615317
16550,1762,84,8,4,MANDATORY,4615317
16551,671,1524,8,5,MANDATORY,4615318
16552,903,2354,7,1,MANDATORY,4615319
16553,259,2354,7,4,MANDATORY,1770939
16554,240,2426,8,3,MANDATORY,3348331
16555,246,2354,8,3,INDIVIDUAL_NON_MANDATORY,4615286
16556,1198,2354,7,4,MANDATORY,4615287
16557,2424,904,8,3,MANDATORY,4615287
16558,672,2354,7,4,MANDATORY,4615288
16559,875,2354,7,3,MANDATORY,3747740
16560,2475,2354,7,4,MANDATORY,3747741
16561,1041,2354,7,4,MANDATORY,5485821
16562,906,2354,7,0,MANDATORY,3705341
16563,1611,2354,7,5,MANDATORY,6123235
16564,1868,698,7,4,MANDATORY,2612175
16565,254,2354,7,0,MANDATORY,1770983
16566,815,2354,7,0,MANDATORY,3705343
16567,1312,592,7,2,INDIVIDUAL_NON_MANDATORY,54593
16568,674,2153,7,2,INDIVIDUAL_NON_MANDATORY,54593
